ID,Type,Tag
of:0000000000000001,fwd,of:01
of:0000000000000002,fwd,of:02
of:0000000000000003,fwd,of:03
00:00:00:00:00:01,host,10.0.1.1/24
00:00:00:00:00:03,host,10.0.1.3/24
00:00:00:00:00:05,host,10.0.1.5/24
00:00:00:00:00:07,host,10.0.1.7/24
00:00:00:00:00:09,host,10.0.1.9/24
of:0000000000000004,fwd,of:04
of:0000000000000005,fwd,of:05
of:0000000000000006,fwd,of:06
of:0000000000000007,fwd,of:07
of:0000000000000008,fwd,of:08
of:0000000000000009,fwd,of:09
of:0000000000000010,fwd,of:10
of:0000000000000011,fwd,of:11
of:0000000000000012,fwd,of:12
of:0000000000000013,fwd,of:13
of:0000000000000014,fwd,of:14
of:0000000000000015,fwd,of:15
of:0000000000000016,fwd,of:16
6E:68:E1:68:AC:A8,host,10.0.1.10/24
